,ipn old dt,trigB index,trigB dt
0,2018-07-11 17:02:02,[2852],['2018-07-11 17:02:04.453650']
1,2018-07-20 14:21:44,[3368 3369],"['2018-07-20 14:21:47.559081', '2018-07-20 14:21:50.213915']"
2,2018-08-09 13:12:04,[4831],['2018-08-09 13:11:58.122146']
3,2018-08-09 14:37:03,[4853],['2018-08-09 14:37:12.740372']
4,2018-09-10 03:44:16,[11365],['2018-09-10 03:44:06.627768']
5,2018-10-17 20:54:15,[18945],['2018-10-17 20:54:10.841291']
6,2018-12-22 20:11:34,[30144],['2018-12-22 20:11:37.041954']
7,2019-02-06 03:49:23,[43589],['2019-02-06 03:49:29.032724']
8,2019-02-16 11:52:26,[45481],['2019-02-16 11:52:35.047951']
9,2019-02-18 19:27:44,[45987],['2019-02-18 19:27:40.610266']
10,2019-03-05 13:05:15,[49414 49426],"['2019-03-05 13:05:20.268616', '2019-03-05 13:05:20.268616']"
11,2019-03-23 21:05:21,[53366],['2019-03-23 21:05:18.504835']
12,2019-04-11 09:45:56,[55408],['2019-04-11 09:45:52.672792']
13,2019-05-12 14:40:09,[58637],['2019-05-12 14:40:13.125662']
14,2019-06-06 01:55:07,[61032],['2019-06-06 01:55:08.196334']
15,2019-07-20 14:42:09,[65368],['2019-07-20 14:42:10.426611']
16,2019-08-29 19:56:44,[69270],['2019-08-29 19:56:41.870256']
17,2019-12-27 17:21:44,[78489],['2019-12-27 17:21:44.607113']
18,2020-02-12 10:49:49,[81606],['2020-02-12 10:49:52.031887']
19,2020-03-31 17:39:28,[86277],['2020-03-31 17:39:19.559852']
20,2020-04-12 06:57:11,[87289 87290 87291 87292 87293 87294],"['2020-04-12 06:57:14.462503', '2020-04-12 06:57:15.641967', '2020-04-12 06:57:16.642202', '2020-04-12 06:57:17.642416', '2020-04-12 06:57:18.643144', '2020-04-12 06:57:20.644679']"
21,2020-05-21 12:16:41,[90870],['2020-05-21 12:16:40.872618']
22,2020-06-19 11:48:43,[93488],['2020-06-19 11:48:43.440792']
23,2020-07-16 22:57:41,[95954],['2020-07-16 22:57:41.254028']
24,2020-09-03 02:34:27,[100167],['2020-09-03 02:34:36.014859']
25,2020-09-25 21:50:37,[102247],['2020-09-25 21:50:32.133394']
26,2020-10-13 18:06:58,[103795],['2020-10-13 18:07:04.403495']
27,2020-11-14 00:39:25,[106512],['2020-11-14 00:39:30.276744']
28,2020-12-27 15:14:07,[110050],['2020-12-27 15:14:07.576593']
29,2021-02-22 15:57:23,[114927],['2021-02-22 15:57:25.805322']
30,2021-04-05 12:11:26,[119771],['2021-04-05 12:11:27.470984']
31,2021-05-22 22:11:40,[124655 124656 124657],"['2021-05-22 22:11:45.055113', '2021-05-22 22:11:46.757164', '2021-05-22 22:11:49.086361']"
32,2021-06-17 12:52:54,[127432],['2021-06-17 12:52:45.802511']
33,2021-06-19 23:59:25,[127675 127676 127677 127678 127679],"['2021-06-19 23:59:25.702600', '2021-06-19 23:59:26.702801', '2021-06-19 23:59:27.702908', '2021-06-19 23:59:28.702966', '2021-06-19 23:59:34.146762']"
