GRB,Int,Model,alpha,alpha_upper,alpha_lower,beta,beta_upper,beta_lower,Epeak,Epeak_upper,Epeak_lower
181222B,1,Band,-0.52,0.085,-0.076,-2.98,0.216,-0.314,368,28,-29
||,2,Band,-0.11,0.126,-0.112,-3.53,0.41,-0.836,417,31,-32
190206A,1,Band,-0.501,0.101,-0.1,-2.95,0.472,-2.95,1402,366,-324
||,1,CPL,0.567,0.091,-0.092,,,,1593,252,-595
190305A,1,Band,-0.162,0.072,-0.067,-2.96,0.127,-0.158,425,21,-21
190606A,1,Band,-0.676,0.493,-0.296,-1.69,0.145,-0.209,478,379,-226
200521A,1,CPL,0.259,0.131,-0.141,,,,1333,195,-166
200716C,1,Band,-0.544,0.208,-0.163,-2.31,0.284,-0.62,667,180,-153
201227A,1,CPL,0.19,0.37,-0.003,,,,882,138,-114
210619B,1,Band,-0.427,0.122,-0.109,-2.06,0.09,-0.114,587,94,-78
||,2,Band,-0.5,0.061,-0.057,-2.01,0.036,-0.039,433,30,-28
